State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Haryana,"Yamuna Nagar","Chhachrauli APMC",Onion,Onion,Medium,31/12/2025,2500,3300,2700
Haryana,"Yamuna Nagar","Chhachrauli APMC",Tomato,Tomato,Medium,31/12/2025,2700,5800,5000
Haryana,"Yamuna Nagar","Radaur APMC",Apple,Other,Medium,31/12/2025,6500,6700,6600
Haryana,"Yamuna Nagar","Radaur APMC",Onion,Nasik,Medium,31/12/2025,1400,1600,1500
Haryana,"Yamuna Nagar","Radaur APMC",Tomato,Other,Medium,31/12/2025,2200,2600,2400
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Guava,Guava,Medium,31/12/2025,2100,2300,2200
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Lemon,Other,FAQ,31/12/2025,7100,7300,7200
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Potato,Desi,FAQ,31/12/2025,1200,1400,1300
Haryana,Mewat,"Tauru APMC",Potato,Potato,FAQ,31/12/2025,800,800,800
Haryana,Mewat,"Tauru APMC",Brinjal,Other,Local,31/12/2025,1500,1500,1500
"Madhya Pradesh",Hoshangabad,"Pipariya APMC",Wheat,Wheat,FAQ,31/12/2025,2500,2500,2500
"Madhya Pradesh",Hoshangabad,"Pipariya APMC",Paddy(Common),"Puspa (MR 301)",FAQ,31/12/2025,3000,3800,3800
"Madhya Pradesh",Hoshangabad,"Pipariya APMC","Green Gram(Moong)(Whole)","Green (Whole)",FAQ,31/12/2025,6780,6780,6780
Gujarat,Surendranagar,"Dhragradhra APMC",Groundnut,M-37,Local,31/12/2025,5350,6540,6000
Gujarat,Surendranagar,"Dhragradhra APMC","Suva(Dill Seed)","Suva (Dill Seed)",Local,31/12/2025,6000,6000,6000
Gujarat,Surendranagar,"Dhragradhra APMC",Wheat,Wheat,Local,31/12/2025,2325,2325,2325
Gujarat,Surendranagar,"Dhragradhra APMC","Corriander seed","Coriander Seed",Local,31/12/2025,8675,8675,8675
Rajasthan,Jodhpur,"Jodhpur (F&V) APMC",Guava,Other,Medium,31/12/2025,1000,2800,1400
Rajasthan,Jodhpur,"Jodhpur (F&V) APMC",Garlic,Garlic,Local,31/12/2025,5000,15000,10000
Rajasthan,"Jodhpur Rural","Osiyan Mathania APMC",Isabgul(Psyllium),"Isabgul (Psyllium)",Local,31/12/2025,9000,10000,9500
Rajasthan,"Jodhpur Rural","Osiyan Mathania APMC",Wheat,Local,Local,31/12/2025,2300,2500,2400
Gujarat,Banaskanth,"Vadgam APMC","Guar Seed(Cluster Beans Seed)",Other,FAQ,31/12/2025,5450,5505,5500
Punjab,Mohali,"Kharar APMC","Green Chilli","Green Chilly",Local,31/12/2025,4000,4500,4200
Assam,Nagaon,"Dhing APMC",Carrot,Carrot,FAQ,31/12/2025,1500,1920,1700
Assam,Nagaon,"Dhing APMC",Cauliflower,Cauliflower,FAQ,31/12/2025,1400,1800,1550
