State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Assam,Nagaon,"Dhing APMC",Garlic,Garlic,FAQ,31/12/2025,4000,5000,4200
Rajasthan,Ajmer,"Madanganj Kishangarh APMC","Bajra(Pearl Millet/Cumbu)",Other,Local,31/12/2025,2215,2255,2250
Rajasthan,Alwar,"Kherli APMC",Dhaincha,Other,FAQ,31/12/2025,10540,11600,11000
Assam,Kokrajhar,"Gossaigaon APMC","Bottle gourd","Bottle Gourd",Local,31/12/2025,1900,2100,2000
Assam,Kokrajhar,"Gossaigaon APMC",Carrot,Carrot,Local,31/12/2025,2500,3000,2700
Assam,Kokrajhar,"Gossaigaon APMC",Cabbage,Cabbage,Local,31/12/2025,1000,1200,1100
Assam,Kokrajhar,"Gossaigaon APMC",Tomato,Tomato,FAQ,31/12/2025,3800,4000,3900
Assam,Sibsagar,"Sonari APMC",Onion,Onion,FAQ,31/12/2025,3100,3200,3150
Assam,Sibsagar,"Sonari APMC",Tomato,Tomato,FAQ,31/12/2025,2700,2900,2800
Assam,Sibsagar,"Sonari APMC",Brinjal,Brinjal,FAQ,31/12/2025,3200,3400,3300
